stock_abreviation,names,price,before_price_compare,percentage,category
FCT,Factom (FCT / USD),0.6932,+0.0016,Aumentó un 0.26 %,Criptomonedas
NXT,Nxt (NXT / USD),0.0014,-0.0000071,Disminuyó un 0.50 %,Criptomonedas
PAY,TenX (PAY / USD),0.0088,-0.00013,Disminuyó un 1.42 %,Criptomonedas
XDN,DigitalNote (XDN / USD),0.000026,+0.0000,Aumentó un 2.55 %,Criptomonedas
SUB,Substratum (SUB / USD),0.00042,+0.0000,Aumentó un 0.069 %,Criptomonedas
KNC,KingN Coin (KNC / USD),0.5403,-0.00032,Aumentó un 0.016 %,Criptomonedas
GNT,Golem (GNT / USD),0.2965,-0.0023,Disminuyó un 0.60 %,Criptomonedas
REQ,Request Network (REQ / USD),0.0670,+0.00043,Aumentó un 0.67 %,Criptomonedas
VGX,Voyager Tokens (VGX / USD),1.4899,+0.0294,Aumentó un 2.03 %,Criptomonedas
TNB,Time New Bank (TNB / USD),0.0030,-0.0000032,Disminuyó un 0.17 %,Criptomonedas
ZCL,ZClassic (ZCL / USD),0.0978,-0.00054,Disminuyó un 0.60 %,Criptomonedas
HSR,Hshare (HSR / USD),0.1815,-0.00064,Disminuyó un 0.33 %,Criptomonedas
ICN,iCoin (ICN / USD),0.9833,-0.0040,Disminuyó un 0.28 %,Criptomonedas
POWR,Powerledger (POWR / USD),0.1353,+0.0031,Aumentó un 2.38 %,Criptomonedas
ENG,Enigma (ENG / USD),0.0043,-0.00021,Disminuyó un 4.57 %,Criptomonedas
SAN,Santiment Network Token (SAN / USD),0.1014,+0.0000021,Disminuyó un 0.066 %,Criptomonedas
ELF,aelf (ELF / USD),0.2816,+0.00032,Aumentó un 0.11 %,Criptomonedas
STRAT,Stratis (STRAT / USD),0.0363,-0.000038,Disminuyó un 0.17 %,Criptomonedas
QSP,Quantstamp (QSP / USD),0.0155,-0.00017,Disminuyó un 1.07 %,Criptomonedas
RDN,Raiden Network Token (RDN / USD),0.1143,-0.00061,Disminuyó un 0.53 %,Criptomonedas
CCY,EUR / USD,1.0891,0.0000,Cambió en un 0.00 %,Monedas
CCY,USD / JPY,145.4150,0.0000,Cambió en un 0.00 %,Monedas
CCY,GBP / USD,1.2734,-0.0000,Disminuyó un 0.000079 %,Monedas
CCY,USD / CAD,1.3569,0.0000,Cambió en un 0.00 %,Monedas
CCY,AUD / USD,0.6377,0.0000,Cambió en un 0.00 %,Monedas
CCY,USD / AUD,1.5681,+0.0072,Aumentó un 0.46 %,Monedas
CCY,USD / CAD,1.3569,0.0000,Cambió en un 0.00 %,Monedas
CCY,USD / CHF,0.8820,+0.000048,Aumentó un 0.0055 %,Monedas
CCY,USD / CNY,7.2816,0.0000,Cambió en un 0.00 %,Monedas
CCY,USD / EUR,0.9184,0.0000,Cambió en un 0.00 %,Monedas
CCY,USD / GBP,0.7853,0.0000,Cambió en un 0.00 %,Monedas
CCY,USD / HKD,7.8325,0.0000,Cambió en un 0.00 %,Monedas
CCY,USD / INR,83.1570,+0.0585,Aumentó un 0.070 %,Monedas
CCY,USD / JPY,145.4150,0.0000,Cambió en un 0.00 %,Monedas
CCY,BRL / EUR,0.1848,0.0000,Cambió en un 0.00 %,Monedas
CCY,BRL / USD,0.2012,0.0000,Cambió en un 0.00 %,Monedas
CCY,CAD / GBP,0.5788,-0.000085,Disminuyó un 0.015 %,Monedas
CCY,CAD / USD,0.7370,-0.00011,Disminuyó un 0.015 %,Monedas
CCY,CLP / USD,0.0011,0.0000,Cambió en un 0.00 %,Monedas
CCY,MXN / USD,0.0586,0.0000,Cambió en un 0.00 %,Monedas
CCY,PEN / USD,0.2685,+0.00049,Aumentó un 0.18 %,Monedas
CCY,CHF / EUR,1.0412,-0.000056,Disminuyó un 0.0054 %,Monedas
CCY,CHF / GBP,0.8903,-0.000048,Disminuyó un 0.0054 %,Monedas
CCY,CHF / USD,1.1337,-0.000061,Disminuyó un 0.0054 %,Monedas
CCY,EUR / CHF,0.9607,+0.000052,Aumentó un 0.0055 %,Monedas
CCY,EUR / GBP,0.8553,0.0000,Cambió en un 0.00 %,Monedas
CCY,EUR / JPY,158.3674,+0.0731,Aumentó un 0.046 %,Monedas
CCY,EUR / USD,1.0891,0.0000,Cambió en un 0.00 %,Monedas
CCY,GBP / CHF,1.1232,+0.000060,Aumentó un 0.0054 %,Monedas
CCY,GBP / EUR,1.1695,-0.0000,Disminuyó un 0.000079 %,Monedas
CCY,GBP / USD,1.2734,-0.0000,Disminuyó un 0.000079 %,Monedas
CCY,PLN / USD,0.2438,0.0000,Cambió en un 0.00 %,Monedas
CCY,RUB / EUR,0.0098,0.0000,Cambió en un 0.00 %,Monedas
CCY,RUB / TRY,0.2788,-0.0101,Disminuyó un 3.50 %,Monedas
CCY,RUB / USD,0.0106,-0.000023,Disminuyó un 0.21 %,Monedas
CCY,TRY / CHF,0.0325,+0.0000018,Aumentó un 0.0055 %,Monedas
CCY,TRY / USD,0.0369,+0.000033,Aumentó un 0.089 %,Monedas
CCY,ZAR / AUD,0.0823,0.0000,Cambió en un 0.00 %,Monedas
CCY,ZAR / USD,0.0525,0.0000,Cambió en un 0.00 %,Monedas
CCY,AUD / CAD,0.8649,0.0000,Cambió en un 0.00 %,Monedas
CCY,AUD / USD,0.6377,0.0000,Cambió en un 0.00 %,Monedas
CCY,CNY / EUR,0.1261,0.0000,Cambió en un 0.00 %,Monedas
CCY,CNY / GBP,0.1078,0.0000,Cambió en un 0.00 %,Monedas
CCY,CNY / SGD,0.1866,0.0000,Cambió en un 0.00 %,Monedas
CCY,CNY / USD,0.1373,0.0000,Cambió en un 0.00 %,Monedas
CCY,HKD / GBP,0.1003,0.0000,Cambió en un 0.00 %,Monedas
CCY,HKD / JPY,18.5657,+0.0027,Aumentó un 0.015 %,Monedas
CCY,HKD / USD,0.1277,0.0000,Cambió en un 0.00 %,Monedas
CCY,IDR / EUR,0.000060,0.0000,Cambió en un 0.00 %,Monedas
CCY,IDR / JPY,0.0095,0.0000,Cambió en un 0.00 %,Monedas
CCY,IDR / USD,0.000065,0.0000,Cambió en un 0.00 %,Monedas
CCY,INR / AUD,0.0189,0.0000,Cambió en un 0.00 %,Monedas
CCY,INR / EUR,0.0110,0.0000,Cambió en un 0.00 %,Monedas
CCY,INR / GBP,0.0094,0.0000,Cambió en un 0.00 %,Monedas
CCY,INR / USD,0.0120,-0.0000085,Disminuyó un 0.070 %,Monedas
CCY,JPY / AUD,0.0108,-0.0000018,Cambió en un 0.00 %,Monedas
CCY,JPY / CAD,0.0093,-0.000030,Cambió en un 0.00 %,Monedas
CCY,JPY / EUR,0.0063,-0.0000017,Cambió en un 0.00 %,Monedas
CCY,JPY / GBP,0.0054,0.0000,Cambió en un 0.00 %,Monedas
CCY,JPY / SGD,0.0093,0.0000,Cambió en un 0.00 %,Monedas
CCY,JPY / USD,0.0069,0.0000,Cambió en un 0.00 %,Monedas
CCY,KRW / EUR,0.00069,0.0000,Cambió en un 0.00 %,Monedas
CCY,KRW / USD,0.00075,0.0000,Cambió en un 0.00 %,Monedas
CCY,PKR / EUR,0.0031,-0.000015,Disminuyó un 0.49 %,Monedas
CCY,PKR / USD,0.0034,-0.000017,Disminuyó un 0.49 %,Monedas
CCY,SGD / EUR,0.6760,0.0000,Cambió en un 0.00 %,Monedas
CCY,SGD / USD,0.7360,0.0000,Cambió en un 0.00 %,Monedas
CCY,THB / USD,0.0281,0.0000,Cambió en un 0.00 %,Monedas
CCY,TWD / USD,0.0313,0.0000,Cambió en un 0.00 %,Monedas
